연번,시도명,시군구명,행정동명,남자(명),여자(명),합계(명)
1,부산광역시,해운대구,우1동,406,885,1291
2,부산광역시,해운대구,우2동,247,781,1028
3,부산광역시,해운대구,우3동,185,633,818
4,부산광역시,해운대구,중1동,320,782,1102
5,부산광역시,해운대구,중2동,256,560,816
6,부산광역시,해운대구,좌1동,149,540,689
7,부산광역시,해운대구,좌2동,235,869,1104
8,부산광역시,해운대구,좌3동,180,646,826
9,부산광역시,해운대구,좌4동,141,579,720
10,부산광역시,해운대구,송정동,249,564,813
11,부산광역시,해운대구,반여1동,381,910,1291
12,부산광역시,해운대구,반여2동,455,1039,1494
13,부산광역시,해운대구,반여3동,303,725,1028
14,부산광역시,해운대구,반여4동,117,354,471
15,부산광역시,해운대구,반송1동,631,1320,1951
16,부산광역시,해운대구,반송2동,1025,2232,3257
17,부산광역시,해운대구,재송1동,307,736,1043
18,부산광역시,해운대구,재송2동,482,1117,1599
